Programma,Giorno,Focus,Tipo,#,Esercizio,Serie,Note,Recupero,Attrezzi,Errori_comuni,Respirazione
V4,Giorno 1,Lower A — Quadricipiti + Glutei,Riscaldamento,1,Marcia con ginocchia alte,,3 minuti,,,, 
V4,Giorno 1,Lower A — Quadricipiti + Glutei,Riscaldamento,2,Cat-Cow + World's Greatest Stretch,,2 minuti totali,,,,
V4,Giorno 1,Lower A — Quadricipiti + Glutei,Riscaldamento,3,Serie avvicinamento squat con bilanciere,,3-4 serie 40% → 60% → 80%,,Bilanciere + rack,,Valsalva sulle ultime serie
V4,Giorno 1,Lower A — Quadricipiti + Glutei,Esercizio,1,Squat,4x6-8,"RPE 8-9, ultimo set a cedimento tecnico controllato",2-3 min,Bilanciere + bumper + rack,"Ginocchia che collassano dentro; busto che cade avanti in risalita; talloni che si alzano; schiena che si arrotonda in buca",Valsalva
V4,Giorno 1,Lower A — Quadricipiti + Glutei,Esercizio,2,Squat Bulgaro,3x10-12,"RPE 8, per gamba",90s-2 min,Manubri + panca,"Ginocchio ant. che supera punta piede; piede post. troppo lontano; tronco che oscilla",Inspira in discesa espira risalendo
V4,Giorno 1,Lower A — Quadricipiti + Glutei,Esercizio,3,Hip Thrust Bilanciere,4x10-12,RPE 8-9,2 min,Bilanciere + bumper + panca,"Iperestensione lombare in alto; appoggio scapole troppo basso; piedi troppo vicini",Inspira in basso espira salendo e stringendo glutei
V4,Giorno 1,Lower A — Quadricipiti + Glutei,Esercizio,4,Nordic Curl,3x5-8,"RPE 8, assistito con elastico se necessario",2 min,Elastico + rack,"Cedere col busto; fase eccentrica troppo veloce",Inspira in discesa controllata espira nella risalita
V4,Giorno 1,Lower A — Quadricipiti + Glutei,Esercizio,5,Slackline bipodalica,2x45s,"Stabilita bipodalica, sguardo avanti, ginocchia flesse",60s,Slackline board,"Guardare i piedi; irrigidire le caviglie",Respiro continuo lento mai in apnea
V4,Giorno 1,Lower A — Quadricipiti + Glutei,Esercizio,6,Ab Wheel dalle ginocchia,3x8-10,RPE 8,90s,Ab wheel,"Lombare che si inarica; anche che non si estendono; range troppo corto",Inspira in avanti espira tornando indietro. Core contratto in entrambe le direzioni
V4,Giorno 1,Lower A — Quadricipiti + Glutei,Stretching,1,Quadricipiti,,5 min finali,,,,
V4,Giorno 1,Lower A — Quadricipiti + Glutei,Stretching,2,Flessori anca,,5 min finali,,,,
V4,Giorno 1,Lower A — Quadricipiti + Glutei,Stretching,3,Glutei,,5 min finali,,,,
V4,Giorno 2,Upper A — Tirata + Petto,Riscaldamento,1,Jumping jacks,,3 minuti,,,,
V4,Giorno 2,Upper A — Tirata + Petto,Riscaldamento,2,Cerchi con le braccia,,15 avanti + 15 indietro,,,,
V4,Giorno 2,Upper A — Tirata + Petto,Riscaldamento,3,Inchworm,,5 ripetizioni,,,,
V4,Giorno 2,Upper A — Tirata + Petto,Riscaldamento,3b,Scapular pull-up,2x5,"Appesa alla barra braccia tese. Tira le scapole in basso senza piegare i gomiti. Il corpo sale di 3-5 cm. Tieni 2s in alto.",,Barra trazioni,,"Depressione scapolare: inspira in basso espira attivando"
V4,Giorno 2,Upper A — Tirata + Petto,Riscaldamento,3c,Band pull-apart con elastico,2x15,"Elastico leggero braccia tese davanti. Apri fino al petto. Scapole addotte in fondo.",,Elastico leggero,,"Inspira tornando avanti espira aprendo"
V4,Giorno 2,Upper A — Tirata + Petto,Riscaldamento,4,Serie avvicinamento trazioni,,2-3 serie,,Barra trazioni + elastico,,"Inspira in discesa espira tirando"
V4,Giorno 2,Upper A — Tirata + Petto,Esercizio,1,Trazioni,4x5-8,"RPE 8-9, ultimo set a cedimento tecnico controllato",2-3 min,Barra trazioni (+ elastico assist.),"Kipping; mento che si protende senza tirare; spalle alle orecchie; ROM incompleto",Inspira in discesa espira tirando verso l'alto
V4,Giorno 2,Upper A — Tirata + Petto,Esercizio,2,T-bar Row,4x8-10,RPE 8-9,2 min,T-bar + bumper,"Schiena arrotondata; slancio col busto; tirare con i bicipiti",Inspira nel ritorno espira quando tiri verso il busto
V4,Giorno 2,Upper A — Tirata + Petto,Esercizio,3,Panca,4x8-10,"RPE 8-9, ultimo set a cedimento tecnico controllato",2-3 min,Bilanciere + panca + rack,"Rimbalzo sul petto; gomiti troppo aperti 90 gradi; sedere che si alza; polsi piegati",Valsalva
