Programma,Giorno,Focus,Tipo,#,Esercizio,Serie,Note,Recupero,Attrezzi,Errori_comuni,Respirazione
Tecniche preliminari,Giorno A,Tecniche preliminari — brace / bacino / squat,Riscaldamento,1,Marcia con ginocchia alte,,2 minuti per entrare nella seduta.,,,,
Tecniche preliminari,Giorno A,Tecniche preliminari — brace / bacino / squat,Esercizio,1,Breathing + Brace supino,3x5,5 respiri controllati per serie. Addome che spinge a 360 gradi.,60s,Tappetino,Pancia risucchiata; spalle rigide; torace che si alza troppo,Inspira nel ventre e nei fianchi. Poi mantieni il brace
Tecniche preliminari,Giorno A,Tecniche preliminari — brace / bacino / squat,Esercizio,2,Dead Bug,3x8 per lato,Lombare sempre a terra. Movimento lento.,60s,Tappetino,Lombare che si stacca; fretta; bacino che ruota,Espira estendendo inspira tornando
Tecniche preliminari,Giorno A,Tecniche preliminari — brace / bacino / squat,Esercizio,3,Squat a corpo libero,3x8-10,Talloni a terra. Ginocchia nella direzione dei piedi. Scendi solo fin dove controlli bene.,60-90s,Corpo libero,Talloni che si alzano; ginocchia che collassano; busto instabile,Inspira scendendo espira salendo
Tecniche preliminari,Giorno A,Tecniche preliminari — brace / bacino / squat,Esercizio,4,Goblet Squat,3x8,Peso leggero. Pausa 2-3 secondi in basso. I gomiti aiutano a spingere le ginocchia verso fuori.,90s,Manubrio leggero,Peso troppo alto; schiena che si chiude; movimento incoerente,Inspira scendendo espira salendo
Tecniche preliminari,Giorno A,Tecniche preliminari — brace / bacino / squat,Esercizio,5,Plank,3x20-30s,Gomiti sotto le spalle. Costole giù. Glutei attivi. Bacino neutro.,60s,Tappetino,Bacino che cede; sedere troppo alto; apnea,Respiro lento e continuo
Tecniche preliminari,Giorno A,Tecniche preliminari — brace / bacino / squat,Stretching,1,Glutei,2x30-40s,2x30-40s per lato,,,,
Tecniche preliminari,Giorno A,Tecniche preliminari — brace / bacino / squat,Stretching,2,Quadricipiti,2x30-40s,2x30-40s per lato,,,,
Tecniche preliminari,Giorno A,Tecniche preliminari — brace / bacino / squat,Stretching,3,Flessori anca,2x30-40s,2x30-40s per lato,,,,
Tecniche preliminari,Giorno B,Tecniche preliminari — hip hinge / scapole,Riscaldamento,1,Marcia con ginocchia alte,,2 minuti leggeri.,,,,
Tecniche preliminari,Giorno B,Tecniche preliminari — hip hinge / scapole,Esercizio,1,Test del bastone,3x6,Poche ripetizioni precise. Il bastone resta in contatto con testa dorsale alta e sacro.,60s,Bastone,Schiena che si muove; ginocchia troppo piegate; fretta,Respiro controllato
Tecniche preliminari,Giorno B,Tecniche preliminari — hip hinge / scapole,Esercizio,2,Good Morning senza peso,3x10,Movimento lento. Obiettivo: sedere indietro e schiena stabile.,60-90s,Corpo libero,Piegarti dalla schiena; sedere che scende; collo contratto,Inspira scendendo espira salendo
Tecniche preliminari,Giorno B,Tecniche preliminari — hip hinge / scapole,Esercizio,3,Scapular Pull-Up,2x5,"Braccia tese. Movimento piccolo ma pulito. Regressione: piedi in appoggio su box, lat machine con sola depressione scapolare o elastico assistito.",60s,Barra trazioni,Gomiti che si piegano; spalle alle orecchie; slancio,Inspira in basso espira attivando
Tecniche preliminari,Giorno B,Tecniche preliminari — hip hinge / scapole,Esercizio,4,Band Pull-Apart con elastico,2x15,Elastico leggero. Scapole addotte in fondo.,60s,Elastico leggero,Schiena che si inarca; trapezio alto dominante; elastico troppo duro,Inspira tornando avanti espira aprendo
Tecniche preliminari,Giorno B,Tecniche preliminari — hip hinge / scapole,Esercizio,5,Face Pull,2x12-15,Cavo leggero. Tira verso il viso con gomiti larghi e spalle basse.,60s,Cavo alto + corda,Spalle che salgono; slancio; gomiti che scendono,Inspira nel ritorno espira tirando
Tecniche preliminari,Giorno B,Tecniche preliminari — hip hinge / scapole,Stretching,1,Femorali,2x30-40s,2x30-40s per lato,,,,
Tecniche preliminari,Giorno B,Tecniche preliminari — hip hinge / scapole,Stretching,2,Dorsali,2x30-40s,2x30-40s per lato,,,,
Tecniche preliminari,Giorno B,Tecniche preliminari — hip hinge / scapole,Stretching,3,Spalle,2x30-40s,2x30-40s per lato,,,,
Tecniche preliminari,Giorno C,Tecniche preliminari — spinta / tirata / core,Riscaldamento,1,Marcia con ginocchia alte,,2 minuti per attivarti.,,,,
Tecniche preliminari,Giorno C,Tecniche preliminari — spinta / tirata / core,Esercizio,1,Push-Up ginocchia a terra,3x6-10,Versione facilitata. Se serve usa anche un rialzo. Da testa a ginocchia devi restare in linea.,60-90s,Corpo libero o rialzo,Bacino che cede; testa che penzola; gomiti troppo larghi; movimento troppo corto,Inspira scendendo espira salendo
Tecniche preliminari,Giorno C,Tecniche preliminari — spinta / tirata / core,Esercizio,2,Sospensione attiva alla sbarra,3x15-25s,Appenditi con braccia tese. Spalle basse e pancia leggermente attiva. Non devi fare trazioni. Regressione: piedi in appoggio su box o tenuta attiva al lat machine/cavo alto.,60-90s,Barra trazioni,Spalle alle orecchie; corpo molle; partire a tirare con i gomiti,Respiro lento e continuo
Tecniche preliminari,Giorno C,Tecniche preliminari — spinta / tirata / core,Esercizio,3,Bird Dog,3x8 per lato,Movimento lento. Bacino fermo.,60s,Tappetino,Bacino che ruota; slancio; gamba troppo alta,Espira allungando inspira tornando
Tecniche preliminari,Giorno C,Tecniche preliminari — spinta / tirata / core,Esercizio,4,Glute Bridge,3x10,Retroversione in alto. Glutei stretti. Lombare neutra.,60s,Tappetino,Salire con la schiena; piedi troppo lontani; nessuna pausa in alto,Inspira in basso espira salendo
Tecniche preliminari,Giorno C,Tecniche preliminari — spinta / tirata / core,Esercizio,5,Pallof Press,3x8-10 per lato,Elastico o cavo laterale. Spingi le mani avanti senza lasciare ruotare il busto.,60s,Elastico o cavo,Busto che gira; spalle che salgono; fretta,Espira spingendo avanti inspira tornando
Tecniche preliminari,Giorno C,Tecniche preliminari — spinta / tirata / core,Stretching,1,Pettorali,2x30-40s,2x30-40s per lato,,,,
Tecniche preliminari,Giorno C,Tecniche preliminari — spinta / tirata / core,Stretching,2,Dorsali,2x30-40s,2x30-40s per lato,,,,
Tecniche preliminari,Giorno C,Tecniche preliminari — spinta / tirata / core,Stretching,3,Glutei,2x30-40s,2x30-40s per lato,,,,
