Programma,Giorno,Focus,Tipo,#,Esercizio,Serie,Note,Recupero,Attrezzi,Errori_comuni,Respirazione
recupero,Giorno 1,A – Lower A,Esercizio,1,Squat,4x8,"60-70% del carico abituale; respirazione continua; RIR 2-3; nessun cedimento; tecnica perfetta; evitare ripetizioni grind",120s,Bilanciere + rack,,"Respirazione continua, evitare Valsalva prolungata"
recupero,Giorno 1,A – Lower A,Esercizio,2,Split Squat,4x12,"Controllati; spinta con la gamba anteriore; RIR 2-3",90s,Manubri,,"Inspira in discesa, espira nella spinta"
recupero,Giorno 1,A – Lower A,Esercizio,3,Stacco Rumeno,3x10,"Ipertrofia non forza; carico moderato; eccentrica 3s; bilanciere vicino alle gambe; fermarsi se perdi neutralita lombare; espirare in risalita; evitare Valsalva prolungata; nessun cedimento",90s,Bilanciere + bumper,,"Inspira in discesa, espira in risalita"
recupero,Giorno 1,A – Lower A,Esercizio,4,Wall Sit,3x45-60s,"Respirazione continua; RIR 2-3 percepito; nessun cedimento",60s,,,"Respiri brevi e continui"
recupero,Giorno 1,A – Lower A,Esercizio,5,Monster Walk,3x15 passi/lato,"Elastico sempre in tensione; RIR 2-3",60s,Elastico,,"Respirazione continua e regolare"
recupero,Giorno 2,B – Upper A,Esercizio,1,Trazioni,4x6-8,"RIR 2-3; double progression",90s,Barra trazioni,,"Inspira in basso, espira salendo"
recupero,Giorno 2,B – Upper A,Esercizio,2,Panca Piana,4x8,"RIR 2-3; tecnica perfetta; respirazione continua",90s,Bilanciere + panca,,"Inspira prima della discesa, espira nella seconda parte della salita"
recupero,Giorno 2,B – Upper A,Esercizio,3,Rematore,4x10-12,"Controllo scapolare; RIR 2-3; no slancio",90s,Manubri + panca,,"Inspira in discesa, espira tirando"
recupero,Giorno 2,B – Upper A,Esercizio,4,Arnold Press,3x10-12,"Movimento fluido; RIR 2-3; nessun slancio",60s,Manubri,,"Inspira in basso, espira in salita"
recupero,Giorno 2,B – Upper A,Esercizio,5,Curl Manubri,3x12,"Controllato; RIR 2-3",60s,Manubri,,"Espira in salita, inspira in discesa"
recupero,Giorno 3,C – Riposo / Mobilità,Riposo,1,Stretching e mobilità,,, ,,,,
recupero,Giorno 4,D – Lower B,Esercizio,1,Step Up,4x12,"Spinta solo con la gamba sulla panca; RIR 2-3",90s,Box/step + manubri,,"Inspira in basso, espira salendo"
recupero,Giorno 4,D – Lower B,Esercizio,2,Bulgarian Split Squat,4x10-12,"RIR 2-3; controllo pieno del ROM",90s,Manubri + panca,,"Inspira in discesa, espira in risalita"
recupero,Giorno 4,D – Lower B,Esercizio,3,Hyperextension,4x15,"RIR 2-3; glutei forti in alto; no iperestensione",60s,Panca romana,,"Inspira in discesa, espira salendo"
recupero,Giorno 4,D – Lower B,Esercizio,4,Slanci Glutei,4x15,"RIR 2-3; bacino fermo; respirazione continua",60s,Corpo libero,,"Espira nello slancio, inspira nel ritorno"
recupero,Giorno 4,D – Lower B,Esercizio,5,Standing Calf Raise,4x15-20,"ROM completo; pausa 1s in alto",60s,,,"Inspira in discesa, espira salendo"
recupero,Giorno 5,E – Upper B,Esercizio,1,Trazioni presa inversa,4x8,"RIR 2-3; respirazione continua",90s,Barra trazioni,,"Inspira in basso, espira salendo"
recupero,Giorno 5,E – Upper B,Esercizio,2,Push-Up,4x10-15,"Fermarsi con 2-3 ripetizioni di margine",60s,Corpo libero,,"Inspira in discesa, espira nella spinta"
recupero,Giorno 5,E – Upper B,Esercizio,3,Military Press,4x8-10,"Nessun slancio; RIR 2-3; evitare Valsalva prolungata",90s,Manubri o bilanciere,,"Inspira in basso, espira in salita"
recupero,Giorno 5,E – Upper B,Esercizio,4,Obliqui,4x15 per lato,"Movimento controllato; RIR 2-3",60s,Cavo o elastico,,"Espira in rotazione, inspira nel ritorno"
