Programma,Giorno,Focus,Tipo,#,Esercizio,Serie,Note,Recupero,Attrezzi,Errori_comuni,Respirazione,Fase,Link
V4,Giorno 1,Lower A — Squat + Femorali,Riscaldamento,1,Dorsiflessione al muro,8 rip per lato,Tallone a terra e ginocchio oltre la punta in controllo.,,Corpo libero,Tallone che si alza,,Mobilita,https://www.youtube.com/watch?v=XISJxwVSLDs
V4,Giorno 1,Lower A — Squat + Femorali,Riscaldamento,2,Posizione del quadrato,2x30-40s per lato,Busto alto. Anche pesanti a terra, senza spingere le ginocchia.,,Corpo libero,Forzare le ginocchia verso il basso,,Mobilita,
V4,Giorno 1,Lower A — Squat + Femorali,Riscaldamento,3,Alfredson eccentrico,10 per piede,Sali con due piedi e scendi con uno solo. Lento.,,Step / Fit box,Scendere troppo veloce,,Mobilita,https://www.youtube.com/watch?v=WjQBJPuFkHI
V4,Giorno 1,Lower A — Squat + Femorali,Riscaldamento,4,Ponte monopodalico,10 per lato,Gluteo stretto 2 secondi in alto. Lombare ferma.,,Corpo libero,Iperestendere la lombare,,Attivazione,https://www.youtube.com/watch?v=AVAXhy6pl7o
V4,Giorno 1,Lower A — Squat + Femorali,Riscaldamento,5,Dead Bug,5 per lato,Lombare incollata al pavimento per tutta la serie.,,Tappetino,Lombare che si stacca,,Attivazione,https://www.drfitology.com/exercises/abs/dead-bug
V4,Giorno 1,Lower A — Squat + Femorali,Riscaldamento,6,Push-Up,6-8 rip facili,Circuito neurale. 1 giro solo, non a fatica.,,Corpo libero,Andare a cedimento,,Circuito,https://www.nerdfitness.com/blog/proper-push-up/
V4,Giorno 1,Lower A — Squat + Femorali,Riscaldamento,7,Affondi saltati alternati,5 per lato,Circuito neurale. Atterraggio morbido e ginocchia in linea.,,Corpo libero,Atterrare rigidi,,Circuito,https://www.youtube.com/watch?v=45qaTeoPGRw
V4,Giorno 1,Lower A — Squat + Femorali,Riscaldamento,8,Trazioni con elastico,3-4 rip facili,Circuito neurale. Elastico leggero e zero fatica reale.,,Sbarra + elastico,Tirare troppo pesante,,Circuito,https://www.youtube.com/watch?v=9mVNP1_kDBs
V4,Giorno 1,Lower A — Squat + Femorali,Riscaldamento,9,Serie avvicinamento squat,1 serie al 50%,Una sola serie a circa meta del carico di lavoro. Deve preparare senza tassarti.,,Bilanciere + rack,,Valsalva se il carico lo richiede,Avvicinamento,
V4,Giorno 1,Lower A — Squat + Femorali,Esercizio,1,Squat,4x6,"Setup: piedi larghezza spalle, punte 15-30°, mani simmetriche, gomiti giu e leggermente dietro. RPE 8-9; ultimo set solo a RIR 0-1 se tecnica stabile. PRIORITA.",2-3 min,Bilanciere + bumper + rack,Ginocchia che collassano dentro; busto che cade avanti in risalita; talloni che si alzano; schiena che si arrotonda in buca,Valsalva
V4,Giorno 1,Lower A — Squat + Femorali,Esercizio,2,Stacco Rumeno,5x10-12,"Setup: piedi larghezza anche, ginocchia appena sbloccate, bilanciere vicino alle gambe. Anca indietro. RPE 8-9.",90s-2 min,Bilanciere + bumper,Schiena arrotondata; ginocchia troppo flesse; carico lontano dal corpo,Valsalva
V4,Giorno 1,Lower A — Squat + Femorali,Esercizio,3,Glute Bridge Bilanciere,4x10-12,"Schiena a terra, bilanciere sulle anche (pad o asciugamano). Spingi bacino in alto, stringi glutei 1s. RPE 8-9.",90s,Bilanciere + bumper (+ pad),Iperestendere la lombare; piedi troppo lontani; bilanciere che rotola,Inspira in basso espira salendo
V4,Giorno 1,Lower A — Squat + Femorali,Esercizio,4,Wall Sit,3xmax,"Schiena al muro, cosce circa parallele e tibie quasi verticali. Tieni la posizione finche mantieni altezza e assetto puliti. Conta i secondi. RPE 9.",60-90s,Muro libero,Salire poco alla volta; ginocchia che collassano; lombare che si stacca dal muro,Respira corto e continuo
V4,Giorno 1,Lower A — Squat + Femorali,Esercizio,5,Monster Walk,3x8-10,"Dalla stazione eretta cammina con le mani in avanti fino a plank lungo e torna indietro in controllo. Ogni andata e ritorno conta come una ripetizione. RPE 8.",60-90s,Corpo libero,Lombare che cede; passi troppo lunghi; ritorno frettoloso senza controllo,Inspira avanzando espira tornando
V4,Giorno 1,Lower A — Quadricipiti + Glutei,Stretching,1,Standing Quad Pull,1x30s per lato,"Tallone verso il gluteo, ginocchia vicine, bacino neutro.",,Corpo libero,Lombare inarcata o ginocchio che scappa avanti,"Diaframmatica, enfasi sull'espirazione completa"
V4,Giorno 1,Lower A — Quadricipiti + Glutei,Stretching,2,Half Kneeling Lunge,1x40s per lato,"Punta la fibbia della cintura verso l'orizzonte, poi spingi le anche appena avanti.",,Tappetino,Compenso lombare o passo troppo lungo,"Diaframmatica, enfasi sull'espirazione completa"
V4,Giorno 1,Lower A — Quadricipiti + Glutei,Stretching,3,Figure-Four Supino,1x40s per lato,"Sacro a terra, caviglia appoggiata alta sulla coscia opposta.",,Tappetino,Tirare da collo e spalle o perdere il bacino,"Diaframmatica, enfasi sull'espirazione completa"
V4,Giorno 2,Upper A — Trazioni + Panca + Pulley (alias: Rematore Manubri),Riscaldamento,1,T-spine rotation in quadrupedia,8 rip per lato,Ruota il torace tenendo fermo il bacino.,,Corpo libero,Muovere il bacino insieme al torace,,Mobilita,https://www.youtube.com/watch?v=J0BO4tlEsXQ
V4,Giorno 2,Upper A — Trazioni + Panca + Pulley (alias: Rematore Manubri),Riscaldamento,2,Shoulder CARs,5 cerchi per direzione per braccio,Cerchi lenti e completi. Addome attivo.,,Corpo libero,Inarcare la schiena,,Mobilita,https://www.youtube.com/watch?v=PwoDf1Mzlwo
V4,Giorno 2,Upper A — Trazioni + Panca + Pulley (alias: Rematore Manubri),Riscaldamento,3,Shoulder Tap,20 rip per lato,"Bacino fermo. Core anti-rotazione. Alternativa: plank su tavoletta 2x20-30s.",,Corpo libero,Bacino che oscilla,Respiro lento e continuo,Attivazione,https://www.youtube.com/watch?v=aqU5ep3sMjY
V4,Giorno 2,Upper A — Trazioni + Panca + Pulley (alias: Rematore Manubri),Riscaldamento,4,Kettlebell swing leggero,10 rip,Circuito neurale. Esplosivo ma facile.,,Kettlebell,Usare le braccia per sollevare,Espira nello snap delle anche,Circuito,https://www.youtube.com/watch?v=YSxHifyI6s8
V4,Giorno 2,Upper A — Trazioni + Panca + Pulley (alias: Rematore Manubri),Riscaldamento,5,Goblet squat con fermo in buca,5 rip con fermo 3s,Circuito neurale. Verticale e controllato.,,Kettlebell,Busto che cade avanti,Respiro breve nel fermo,Circuito,https://www.youtube.com/watch?v=MeIiIdhvXT4
